"","itemid","condition","cresp","experiment","item","question","question.acc","question.cresp","question.resp","question.rt","sentence","slide_1.resp","slide_1.rt","subject","trial","trial_abort","roi","FFD","FFP","SFD","FPRT","RBRT","TFT","RPD","CRPD","RRT","RRTP","RRTR","RBRC","TRC","LPRT","word","group","spill0len","spill1len","spill2len","spill","NPsubj","NPobj","logTFT","logFPRT","logRPD","wlen"
"2754","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1772048","Natalie repaired that car with great care before the shift ended.","Y",295,"5","19","0","8",38,1,0,38,299,1061,2361,2505,1023,261,762,1,1,762,"before ","1",4,3,4,"2","name","demonstrative",6.96696713861398,3.63758615972639,7.76684053708551,6
"2757","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","19791622","Natalie repaired that car with great care before the shift ended.","Y",352,"21","74","0","10",224,1,224,224,224,224,422,5193,0,0,0,1,1,224,"shift ","1",4,3,4,"2","name","demonstrative",5.41164605185504,5.41164605185504,6.04500531403601,5
"2758","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","19791622","Natalie repaired that car with great care before the shift ended.","Y",352,"21","74","0","11",184,1,184,184,184,184,672,5865,0,0,0,1,1,184,"ended. ","1",4,3,4,"2","name","demonstrative",5.21493575760899,5.21493575760899,6.51025834052315,6
"2759","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","19791622","Natalie repaired that car with great care before the shift ended.","Y",352,"21","74","0","2",396,1,0,396,668,1412,3413,3413,1016,272,744,1,1,187,"repaired ","1",4,3,4,"9","name","demonstrative",7.25276241805319,5.98141421125448,8.13534694890671,8
"2760","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","19791622","Natalie repaired that car with great care before the shift ended.","Y",352,"21","74","0","3",155,1,155,155,155,155,155,3568,0,0,0,0,0,155,"that ","1",4,3,4,"0","name","demonstrative",5.04342511691925,5.04342511691925,5.04342511691925,4
"2761","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","19791622","Natalie repaired that car with great care before the shift ended.","Y",352,"21","74","0","4",600,1,600,600,600,600,600,4168,0,0,0,0,0,600,"car ","1",4,3,4,"0","name","demonstrative",6.39692965521615,6.39692965521615,6.39692965521615,3
"2762","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","19791622","Natalie repaired that car with great care before the shift ended.","Y",352,"21","74","0","5",244,1,244,244,244,244,603,4771,0,0,0,1,1,244,"with ","1",4,3,4,"1","name","demonstrative",5.4971682252932,5.4971682252932,6.40191719672719,4
"2764","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","1",97,1,0,1533,1533,1533,1533,1533,0,0,0,0,0,1533,"Natalie ","1",4,3,4,"9","name","demonstrative",7.33498187887181,7.33498187887181,7.33498187887181,7
"2765","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","10",143,1,0,143,358,358,1111,4208,215,215,0,2,2,215,"shift ","1",4,3,4,"2","name","demonstrative",5.8805329864007,4.96284463025991,7.01301578963963,5
"2766","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","11",148,1,148,148,148,148,148,4356,0,0,0,0,0,148,"ended. ","1",4,3,4,"2","name","demonstrative",4.99721227376411,4.99721227376411,4.99721227376411,6
"2767","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","2",622,1,622,622,622,622,622,2155,0,0,0,0,0,622,"repaired ","1",4,3,4,"9","name","demonstrative",6.43294009273918,6.43294009273918,6.43294009273918,8
"2768","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","4",267,1,0,267,267,703,267,2422,436,0,436,0,0,212,"car ","1",4,3,4,"0","name","demonstrative",6.55535689181067,5.58724865840025,5.58724865840025,3
"2769","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","6",272,1,0,272,272,447,496,2918,175,0,175,1,1,175,"great ","1",4,3,4,"1","name","demonstrative",6.10255859461357,5.605802066296,6.20657592672493,5
"2771","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","1996428","Natalie repaired that car with great care before the shift ended.","Y",379,"1","109","0","9",179,1,0,179,179,434,179,3097,255,0,255,0,0,255,"the ","1",4,3,4,"2","name","demonstrative",6.07304453410041,5.18738580584075,5.18738580584075,3
"2772","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","1",211,1,0,1997,1997,1997,1997,1997,0,0,0,0,0,1997,"Natalie ","1",4,3,4,"9","name","demonstrative",7.59940133341582,7.59940133341582,7.59940133341582,7
"2773","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","10",214,1,214,214,214,214,214,3877,0,0,0,0,0,214,"shift ","1",4,3,4,"2","name","demonstrative",5.36597601502185,5.36597601502185,5.36597601502185,5
"2774","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","2",305,1,305,305,305,305,305,2302,0,0,0,0,0,305,"repaired ","1",4,3,4,"9","name","demonstrative",5.72031177660741,5.72031177660741,5.72031177660741,8
"2775","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","3",186,1,186,186,186,186,186,2488,0,0,0,0,0,186,"that ","1",4,3,4,"0","name","demonstrative",5.2257466737132,5.2257466737132,5.2257466737132,4
"2776","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","4",163,1,163,163,163,163,163,2651,0,0,0,0,0,163,"car ","1",4,3,4,"0","name","demonstrative",5.09375020080676,5.09375020080676,5.09375020080676,3
"2777","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","5",174,1,174,174,174,174,174,2825,0,0,0,0,0,174,"with ","1",4,3,4,"1","name","demonstrative",5.15905529921453,5.15905529921453,5.15905529921453,4
"2778","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","6",189,1,0,337,337,337,337,3162,0,0,0,0,0,337,"great ","1",4,3,4,"1","name","demonstrative",5.82008293035236,5.82008293035236,5.82008293035236,5
"2779","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","8",143,1,0,320,320,320,320,3482,0,0,0,0,0,320,"before ","1",4,3,4,"2","name","demonstrative",5.76832099579377,5.76832099579377,5.76832099579377,6
"2780","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","20581887","Natalie repaired that car with great care before the shift ended.","Y",401,"29","72","0","9",181,1,181,181,181,181,181,3663,0,0,0,0,0,181,"the ","1",4,3,4,"2","name","demonstrative",5.19849703126583,5.19849703126583,5.19849703126583,3
"2781","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","5853676","Natalie repaired that car with great care before the shift ended.","Y",766,"33","66","0","1",139,1,0,903,903,1080,903,903,177,0,177,0,0,177,"Natalie ","1",4,3,4,"9","name","demonstrative",6.98471632011827,6.80572255341699,6.80572255341699,7
"2782","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","5853676","Natalie repaired that car with great care before the shift ended.","Y",766,"33","66","0","10",227,1,227,227,227,227,424,2886,0,0,0,1,1,227,"shift ","1",4,3,4,"2","name","demonstrative",5.4249500174814,5.4249500174814,6.04973345523196,5
"2783","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","5853676","Natalie repaired that car with great care before the shift ended.","Y",766,"33","66","0","2",111,1,0,111,236,620,413,1316,509,125,384,1,1,154,"repaired ","1",4,3,4,"9","name","demonstrative",6.42971947803914,4.70953020131233,6.02344759296103,8
"2784","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","5853676","Natalie repaired that car with great care before the shift ended.","Y",766,"33","66","0","4",290,1,290,290,290,290,520,1836,0,0,0,1,1,290,"car ","1",4,3,4,"0","name","demonstrative",5.66988092298052,5.66988092298052,6.25382881157547,3
"2786","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","5853676","Natalie repaired that car with great care before the shift ended.","Y",766,"33","66","0","6",314,1,314,314,314,314,314,2150,0,0,0,0,0,314,"great ","1",4,3,4,"1","name","demonstrative",5.74939298590825,5.74939298590825,5.74939298590825,5
"2787","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","5853676","Natalie repaired that car with great care before the shift ended.","Y",766,"33","66","0","8",124,1,0,312,312,312,312,2462,0,0,0,0,0,312,"before ","1",4,3,4,"2","name","demonstrative",5.74300318780948,5.74300318780948,5.74300318780948,6
"2788","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","1",130,1,0,1100,1100,1100,1100,1100,0,0,0,0,0,1100,"Natalie ","1",4,3,4,"9","name","demonstrative",7.00306545878646,7.00306545878646,7.00306545878646,7
"2789","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","10",184,1,0,184,473,473,1706,4010,289,289,0,2,2,289,"shift ","1",4,3,4,"2","name","demonstrative",6.15909538849193,5.21493575760899,7.44190672805162,5
"2790","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","2",215,1,0,215,215,632,215,1315,417,0,417,0,0,189,"repaired ","1",4,3,4,"9","name","demonstrative",6.44888939414686,5.37063802812766,5.37063802812766,8
"2791","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","3",286,1,0,286,286,496,286,1601,210,0,210,0,1,210,"that ","1",4,3,4,"0","name","demonstrative",6.20657592672493,5.65599181081985,5.65599181081985,4
"2792","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","4",201,1,0,201,201,352,201,1802,151,0,151,0,0,151,"car ","1",4,3,4,"0","name","demonstrative",5.8636311755981,5.30330490805908,5.30330490805908,3
"2793","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","6",167,1,0,167,167,468,167,1969,301,0,301,0,0,301,"great ","1",4,3,4,"1","name","demonstrative",6.14846829591765,5.11799381241676,5.11799381241676,5
"2794","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","7",167,1,167,167,167,167,167,2136,0,0,0,0,0,167,"care ","1",4,3,4,"1","name","demonstrative",5.11799381241676,5.11799381241676,5.11799381241676,4
"2795","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","8364166","Natalie repaired that car with great care before the shift ended.","Y",861,"9","29","0","8",168,1,0,168,168,322,168,2304,154,0,154,0,0,154,"before ","1",4,3,4,"2","name","demonstrative",5.77455154554441,5.12396397940326,5.12396397940326,6
"2797","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","9118444","Natalie repaired that car with great care before the shift ended.","Y",888,"13","99","0","10",282,1,282,282,282,282,282,3438,0,0,0,0,0,282,"shift ","1",4,3,4,"2","name","demonstrative",5.64190707093811,5.64190707093811,5.64190707093811,5
"2798","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","9118444","Natalie repaired that car with great care before the shift ended.","Y",888,"13","99","0","11",185,1,185,185,185,185,523,3961,0,0,0,1,1,185,"ended. ","1",4,3,4,"2","name","demonstrative",5.22035582507832,5.22035582507832,6.25958146406492,6
"2804","18b","b","Y","quant","18","Was the car repaired before the shift ended?","1","right trigger","right trigger","9118444","Natalie repaired that car with great care before the shift ended.","Y",888,"13","99","0","8",42,1,0,42,333,333,3156,3156,291,291,0,1,1,291,"before ","1",4,3,4,"2","name","demonstrative",5.80814248998044,3.73766961828337,8.05706068196577,6
"2806","18c","c","Y","quant","18","Were the cars repaired before the shift ended?",".",".",".",".","Some mechanic repaired each car with great care before the shift ended.",".",1,"34","106","1","1",110,1,0,378,378,378,378,378,0,0,0,0,0,378,"Some ","3",5,3,4,"9","existential","universal",5.93489419561959,5.93489419561959,5.93489419561959,4
"2808","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","122757","Some mechanic repaired each car with great care before the shift ended.","Y",107,"30","104","0","10",171,1,171,171,171,171,355,4124,0,0,0,1,1,171,"the ","3",5,3,4,"2","existential","universal",5.14166355650266,5.14166355650266,5.87211778947542,3
"2809","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","122757","Some mechanic repaired each car with great care before the shift ended.","Y",107,"30","104","0","11",376,1,0,376,566,566,1331,5455,190,190,0,1,1,190,"shift ","3",5,3,4,"2","existential","universal",6.33859407820318,5.92958914338989,7.19368581839511,5
"2810","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","122757","Some mechanic repaired each car with great care before the shift ended.","Y",107,"30","104","0","2",150,1,0,150,308,762,2496,2496,612,158,454,1,1,228,"mechanic ","3",5,3,4,"9","existential","universal",6.63594655568665,5.01063529409626,7.82244472948932,8
"2811","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","122757","Some mechanic repaired each car with great care before the shift ended.","Y",107,"30","104","0","3",287,1,0,287,486,673,712,3208,386,199,187,1,1,187,"repaired ","3",5,3,4,"9","existential","universal",6.51174532964473,5.65948221575962,6.56807791141198,8
"2812","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","122757","Some mechanic repaired each car with great care before the shift ended.","Y",107,"30","104","0","4",199,1,0,199,199,396,199,3407,197,0,197,0,0,197,"each ","3",5,3,4,"0","existential","universal",5.98141421125448,5.29330482472449,5.29330482472449,4
"2813","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","122757","Some mechanic repaired each car with great care before the shift ended.","Y",107,"30","104","0","7",257,1,0,362,362,515,362,3769,153,0,153,0,0,153,"great ","3",5,3,4,"1","existential","universal",6.24416690066374,5.89164421182577,5.89164421182577,5
"2815","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","1",137,1,0,1005,1005,1005,1005,1005,0,0,0,0,0,1005,"Some ","3",5,3,4,"9","existential","universal",6.91274282049318,6.91274282049318,6.91274282049318,4
"2816","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","10",135,1,135,135,135,135,363,2610,0,0,0,1,1,135,"the ","3",5,3,4,"2","existential","universal",4.90527477843843,4.90527477843843,5.89440283426485,3
"2817","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","11",255,1,255,255,255,255,255,2865,0,0,0,0,0,255,"shift ","3",5,3,4,"2","existential","universal",5.54126354515843,5.54126354515843,5.54126354515843,5
"2818","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","12",245,1,245,245,245,245,663,3528,0,0,0,1,1,245,"ended. ","3",5,3,4,"2","existential","universal",5.50125821054473,5.50125821054473,6.49677499018586,6
"2819","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","2",318,1,0,318,318,439,318,1323,121,0,121,0,0,121,"mechanic ","3",5,3,4,"9","existential","universal",6.08449941307517,5.76205138278018,5.76205138278018,8
"2820","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","3",235,1,0,235,235,532,235,1558,297,0,297,0,1,297,"repaired ","3",5,3,4,"9","existential","universal",6.27664348934164,5.45958551414416,5.45958551414416,8
"2821","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","4",231,1,231,231,231,231,231,1789,0,0,0,0,0,231,"each ","3",5,3,4,"0","existential","universal",5.44241771052179,5.44241771052179,5.44241771052179,4
"2822","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","5",174,1,0,250,250,250,250,2039,0,0,0,0,0,250,"car ","3",5,3,4,"0","existential","universal",5.52146091786225,5.52146091786225,5.52146091786225,3
"2823","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","12316436","Some mechanic repaired each car with great care before the shift ended.","Y",42,"14","25","0","7",208,1,208,208,208,208,208,2247,0,0,0,0,0,208,"great ","3",5,3,4,"1","existential","universal",5.33753807970132,5.33753807970132,5.33753807970132,5
"2825","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","1555413","Some mechanic repaired each car with great care before the shift ended.","Y",224,"10","52","0","1",165,1,0,731,731,1681,731,731,950,0,950,0,0,950,"Some ","3",5,3,4,"9","existential","universal",7.42714413340862,6.59441345974978,6.59441345974978,4
"2826","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","1555413","Some mechanic repaired each car with great care before the shift ended.","Y",224,"10","52","0","10",247,1,247,247,247,247,247,2784,0,0,0,0,0,247,"the ","3",5,3,4,"2","existential","universal",5.50938833662798,5.50938833662798,5.50938833662798,3
"2827","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","1555413","Some mechanic repaired each car with great care before the shift ended.","Y",224,"10","52","0","11",189,1,189,189,189,189,353,3137,0,0,0,1,1,189,"shift ","3",5,3,4,"2","existential","universal",5.24174701505964,5.24174701505964,5.8664680569333,5
"2829","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","1555413","Some mechanic repaired each car with great care before the shift ended.","Y",224,"10","52","0","3",157,1,0,157,362,362,1534,2265,205,205,0,1,1,205,"repaired ","3",5,3,4,"9","existential","universal",5.89164421182577,5.05624580534831,7.3356339819272,8
"2830","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","1555413","Some mechanic repaired each car with great care before the shift ended.","Y",224,"10","52","0","5",54,1,54,54,54,54,54,2319,0,0,0,0,0,54,"car ","3",5,3,4,"0","existential","universal",3.98898404656427,3.98898404656427,3.98898404656427,3
"2831","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","1555413","Some mechanic repaired each car with great care before the shift ended.","Y",224,"10","52","0","7",218,1,218,218,218,218,218,2537,0,0,0,0,0,218,"great ","3",5,3,4,"1","existential","universal",5.38449506278909,5.38449506278909,5.38449506278909,5
"2832","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","1",248,1,0,1444,1444,1444,1444,1444,0,0,0,0,0,1444,"Some ","3",5,3,4,"9","existential","universal",7.27517231945277,7.27517231945277,7.27517231945277,4
"2833","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","10",198,1,0,198,428,838,674,3926,640,230,410,1,2,264,"the ","3",5,3,4,"2","existential","universal",6.73101810048208,5.28826703069454,6.51323011091231,3
"2834","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","11",213,1,0,213,508,942,1067,4993,729,295,434,2,4,180,"shift ","3",5,3,4,"2","existential","universal",6.84800527457636,5.36129216570943,6.97260625130175,5
"2835","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","12",208,1,0,208,275,275,2093,7086,67,67,0,2,2,67,"ended. ","3",5,3,4,"2","existential","universal",5.61677109766657,5.33753807970132,7.646353722446,6
"2836","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","2",181,1,0,394,394,394,394,1838,0,0,0,0,0,394,"mechanic ","3",5,3,4,"9","existential","universal",5.97635090929793,5.97635090929793,5.97635090929793,8
"2837","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","3",180,1,180,180,180,180,180,2018,0,0,0,0,0,180,"repaired ","3",5,3,4,"9","existential","universal",5.19295685089021,5.19295685089021,5.19295685089021,8
"2838","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","4",304,1,304,304,304,304,304,2322,0,0,0,0,0,304,"each ","3",5,3,4,"0","existential","universal",5.71702770140622,5.71702770140622,5.71702770140622,4
"2839","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","6",298,1,298,298,298,298,298,2620,0,0,0,0,0,298,"with ","3",5,3,4,"1","existential","universal",5.6970934865054,5.6970934865054,5.6970934865054,4
"2840","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","7",217,1,217,217,217,217,217,2837,0,0,0,0,0,217,"great ","3",5,3,4,"1","existential","universal",5.37989735354046,5.37989735354046,5.37989735354046,5
"2841","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","8",119,1,119,119,119,119,119,2956,0,0,0,0,0,119,"care ","3",5,3,4,"1","existential","universal",4.77912349311153,4.77912349311153,4.77912349311153,4
"2842","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","2549098","Some mechanic repaired each car with great care before the shift ended.","Y",528,"18","100","0","9",113,1,0,296,296,2075,296,3252,1779,0,1779,0,0,171,"before ","3",5,3,4,"2","existential","universal",7.6377164326648,5.69035945432406,5.69035945432406,6
"2843","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","400376","Some mechanic repaired each car with great care before the shift ended.","Y",578,"38","74","0","1",128,1,0,1188,1188,1323,1188,1188,135,0,135,0,0,135,"Some ","3",5,3,4,"9","existential","universal",7.18765716411496,7.08002649992259,7.08002649992259,4
"2844","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","400376","Some mechanic repaired each car with great care before the shift ended.","Y",578,"38","74","0","10",342,1,342,342,342,342,1005,3454,0,0,0,1,1,342,"the ","3",5,3,4,"2","existential","universal",5.8348107370626,5.8348107370626,6.91274282049318,3
"2845","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","400376","Some mechanic repaired each car with great care before the shift ended.","Y",578,"38","74","0","2",111,1,0,167,167,167,302,1490,0,0,0,1,1,167,"mechanic ","3",5,3,4,"9","existential","universal",5.11799381241676,5.11799381241676,5.71042701737487,8
"2846","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","400376","Some mechanic repaired each car with great care before the shift ended.","Y",578,"38","74","0","3",197,1,0,197,197,441,197,1687,244,0,244,0,0,244,"repaired ","3",5,3,4,"9","existential","universal",6.08904487544685,5.28320372873799,5.28320372873799,8
"2847","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","400376","Some mechanic repaired each car with great care before the shift ended.","Y",578,"38","74","0","4",264,1,264,264,264,264,264,1951,0,0,0,0,0,264,"each ","3",5,3,4,"0","existential","universal",5.57594910314632,5.57594910314632,5.57594910314632,4
"2849","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","400376","Some mechanic repaired each car with great care before the shift ended.","Y",578,"38","74","0","7",371,1,0,498,498,498,498,2449,0,0,0,0,0,498,"great ","3",5,3,4,"1","existential","universal",6.21060007702465,6.21060007702465,6.21060007702465,5
"2851","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","459223","Some mechanic repaired each car with great care before the shift ended.","Y",658,"2","126","0","1",126,1,0,2010,2010,2010,2010,2010,0,0,0,0,0,2010,"Some ","3",5,3,4,"9","existential","universal",7.60589000105312,7.60589000105312,7.60589000105312,4
"2852","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","459223","Some mechanic repaired each car with great care before the shift ended.","Y",658,"2","126","0","10",166,1,0,349,349,653,349,3428,304,0,304,0,0,304,"the ","3",5,3,4,"2","existential","universal",6.48157712927643,5.85507192220243,5.85507192220243,3
"2853","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","459223","Some mechanic repaired each car with great care before the shift ended.","Y",658,"2","126","0","12",160,1,160,160,160,160,1156,4584,0,0,0,1,1,160,"ended. ","3",5,3,4,"2","existential","universal",5.07517381523383,5.07517381523383,7.05272104923232,6
"2854","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","459223","Some mechanic repaired each car with great care before the shift ended.","Y",658,"2","126","0","2",166,1,0,166,166,335,166,2176,169,0,169,0,0,169,"mechanic ","3",5,3,4,"9","existential","universal",5.81413053182507,5.11198778835654,5.11198778835654,8
"2855","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","459223","Some mechanic repaired each car with great care before the shift ended.","Y",658,"2","126","0","3",207,1,0,207,207,376,207,2383,169,0,169,0,0,169,"repaired ","3",5,3,4,"9","existential","universal",5.92958914338989,5.33271879326537,5.33271879326537,8
"2857","18c","c","Y","quant","18","Were the cars repaired before the shift ended?","1","right trigger","right trigger","459223","Some mechanic repaired each car with great care before the shift ended.","Y",658,"2","126","0","5",278,1,278,278,278,278,497,2880,0,0,0,1,1,278,"car ","3",5,3,4,"0","existential","universal",5.62762111369064,5.62762111369064,6.20859002609663,3
