"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
17314,74,"single-stim",12,144290,"0.0-12.0","AGCI7","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
7399,70,"single-stim",13,152690,"0.0-13.0","AGCI7","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,153693,"0.0-14.0","AGCI7"," ","",NA,""
291857,32,"text",0,291869,"0.0-0.0","AoV98","","",NA,""
30647,70,"single-stim",1,323531,"0.0-1.0","AoV98","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
7544,32,"text",2,332077,"0.0-2.0","AoV98","","",NA,""
6110,32,"text",3,339188,"0.0-3.0","AoV98","","",NA,""
4638,32,"text",4,344828,"0.0-4.0","AoV98","","",NA,""
5152,32,"text",5,350981,"0.0-5.0","AoV98","","",NA,""
8048,32,"text",6,360029,"0.0-6.0","AoV98","","",NA,""
6741,32,"text",7,367772,"0.0-7.0","AoV98","","",NA,""
2348,32,"text",8,371121,"0.0-8.0","AoV98","","",NA,""
9279,74,"single-stim",9,381403,"0.0-9.0","AoV98","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
9515,70,"single-stim",10,391922,"0.0-10.0","AoV98","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
4169,70,"single-stim",11,397093,"0.0-11.0","AoV98","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
4312,74,"single-stim",12,402408,"0.0-12.0","AoV98","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
12362,70,"single-stim",13,415772,"0.0-13.0","AoV98","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,416776,"0.0-14.0","AoV98"," ","",NA,""
11932,32,"text",0,11935,"0.0-0.0","aQfCP","","",NA,""
17874,70,"single-stim",1,30822,"0.0-1.0","aQfCP","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
12825,32,"text",2,44648,"0.0-2.0","aQfCP","","",NA,""
15535,32,"text",3,61184,"0.0-3.0","aQfCP","","",NA,""
8652,32,"text",4,70837,"0.0-4.0","aQfCP","","",NA,""
22539,32,"text",5,94377,"0.0-5.0","aQfCP","","",NA,""
4739,32,"text",6,100117,"0.0-6.0","aQfCP","","",NA,""
7025,32,"text",7,108143,"0.0-7.0","aQfCP","","",NA,""
3084,32,"text",8,112228,"0.0-8.0","aQfCP","","",NA,""
15376,74,"single-stim",9,128606,"0.0-9.0","aQfCP","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
6023,74,"single-stim",10,135630,"0.0-10.0","aQfCP","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
4592,70,"single-stim",11,141224,"0.0-11.0","aQfCP","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
8267,70,"single-stim",12,150492,"0.0-12.0","aQfCP","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
6223,70,"single-stim",13,157717,"0.0-13.0","aQfCP","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,158721,"0.0-14.0","aQfCP"," ","",NA,""
109288,32,"text",0,109308,"0.0-0.0","AwPdr","","",NA,""
21591,70,"single-stim",1,131912,"0.0-1.0","AwPdr","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
7052,32,"text",2,139972,"0.0-2.0","AwPdr","","",NA,""
11379,32,"text",3,152361,"0.0-3.0","AwPdr","","",NA,""
7843,32,"text",4,161215,"0.0-4.0","AwPdr","","",NA,""
9371,32,"text",5,171602,"0.0-5.0","AwPdr","","",NA,""
3603,32,"text",6,176218,"0.0-6.0","AwPdr","","",NA,""
8546,32,"text",7,185774,"0.0-7.0","AwPdr","","",NA,""
7700,32,"text",8,194480,"0.0-8.0","AwPdr","","",NA,""
8276,74,"single-stim",9,203766,"0.0-9.0","AwPdr","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
18260,74,"single-stim",10,223042,"0.0-10.0","AwPdr","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"false"
15395,74,"single-stim",11,239452,"0.0-11.0","AwPdr","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
7526,74,"single-stim",12,247987,"0.0-12.0","AwPdr","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
8942,74,"single-stim",13,257956,"0.0-13.0","AwPdr","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,258964,"0.0-14.0","AwPdr"," ","",NA,""
12663,32,"text",0,12669,"0.0-0.0","aWSc4","","",NA,""
14520,70,"single-stim",1,28197,"0.0-1.0","aWSc4","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
10001,32,"text",2,39202,"0.0-2.0","aWSc4","","",NA,""
10312,32,"text",3,50516,"0.0-3.0","aWSc4","","",NA,""
8623,32,"text",4,60139,"0.0-4.0","aWSc4","","",NA,""
16618,32,"text",5,77759,"0.0-5.0","aWSc4","","",NA,""
19849,32,"text",6,98610,"0.0-6.0","aWSc4","","",NA,""
13409,32,"text",7,113020,"0.0-7.0","aWSc4","","",NA,""
3768,32,"text",8,117789,"0.0-8.0","aWSc4","","",NA,""
16182,74,"single-stim",9,134974,"0.0-9.0","aWSc4","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
8984,74,"single-stim",10,144960,"0.0-10.0","aWSc4","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
13155,70,"single-stim",11,159116,"0.0-11.0","aWSc4","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
12374,74,"single-stim",12,172492,"0.0-12.0","aWSc4","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
8084,70,"single-stim",13,181577,"0.0-13.0","aWSc4","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,182584,"0.0-14.0","aWSc4"," ","",NA,""
29189,32,"text",0,29197,"0.0-0.0","c5ha5","","",NA,""
15884,70,"single-stim",1,46096,"0.0-1.0","c5ha5","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
7102,32,"text",2,54201,"0.0-2.0","c5ha5","","",NA,""
18750,32,"text",3,73953,"0.0-3.0","c5ha5","","",NA,""
7172,32,"text",4,82127,"0.0-4.0","c5ha5","","",NA,""
10435,32,"text",5,93562,"0.0-5.0","c5ha5","","",NA,""
8485,32,"text",6,103047,"0.0-6.0","c5ha5","","",NA,""
7961,32,"text",7,112010,"0.0-7.0","c5ha5","","",NA,""
2002,32,"text",8,115015,"0.0-8.0","c5ha5","","",NA,""
9255,74,"single-stim",9,125273,"0.0-9.0","c5ha5","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
6165,74,"single-stim",10,132440,"0.0-10.0","c5ha5","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
5286,70,"single-stim",11,138731,"0.0-11.0","c5ha5","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
6939,70,"single-stim",12,146672,"0.0-12.0","c5ha5","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
9377,70,"single-stim",13,157050,"0.0-13.0","c5ha5","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,158054,"0.0-14.0","c5ha5"," ","",NA,""
5227,32,"text",0,5233,"0.0-0.0","cNPm7","","",NA,""
6520,70,"single-stim",1,12764,"0.0-1.0","cNPm7","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
4021,32,"text",2,17788,"0.0-2.0","cNPm7","","",NA,""
15117,32,"text",3,33908,"0.0-3.0","cNPm7","","",NA,""
5875,32,"text",4,40785,"0.0-4.0","cNPm7","","",NA,""
4552,32,"text",5,46339,"0.0-5.0","cNPm7","","",NA,""
12115,32,"text",6,59456,"0.0-6.0","cNPm7","","",NA,""
1176,32,"text",7,61635,"0.0-7.0","cNPm7","","",NA,""
1707,32,"text",8,64344,"0.0-8.0","cNPm7","","",NA,""
13031,74,"single-stim",9,78378,"0.0-9.0","cNPm7","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
11051,70,"single-stim",10,90433,"0.0-10.0","cNPm7","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
7059,70,"single-stim",11,98494,"0.0-11.0","cNPm7","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"false"
749,74,"single-stim",12,100247,"0.0-12.0","cNPm7","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"false"
519,74,"single-stim",13,101768,"0.0-13.0","cNPm7","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,102776,"0.0-14.0","cNPm7"," ","",NA,""
2154104,32,"text",0,2154109,"0.0-0.0","CxJjd","","",NA,""
635758,70,"single-stim",1,2790877,"0.0-1.0","CxJjd","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
8260,32,"text",2,2800140,"0.0-2.0","CxJjd","","",NA,""
12503,32,"text",3,2813644,"0.0-3.0","CxJjd","","",NA,""
7798,32,"text",4,2822442,"0.0-4.0","CxJjd","","",NA,""
20688,32,"text",5,2844131,"0.0-5.0","CxJjd","","",NA,""
19880,32,"text",6,2865011,"0.0-6.0","CxJjd","","",NA,""
8671,32,"text",7,2874683,"0.0-7.0","CxJjd","","",NA,""
3774,32,"text",8,2879458,"0.0-8.0","CxJjd","","",NA,""
15830,74,"single-stim",9,2896291,"0.0-9.0","CxJjd","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
8998,74,"single-stim",10,2906291,"0.0-10.0","CxJjd","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
13663,70,"single-stim",11,2920955,"0.0-11.0","CxJjd","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
22438,70,"single-stim",12,2944395,"0.0-12.0","CxJjd","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
6117,70,"single-stim",13,2951514,"0.0-13.0","CxJjd","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,2952517,"0.0-14.0","CxJjd"," ","",NA,""
2501,32,"text",0,2507,"0.0-0.0","df0hW","","",NA,""
2996,70,"single-stim",1,6514,"0.0-1.0","df0hW","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
1428,32,"text",2,8945,"0.0-2.0","df0hW","","",NA,""
421,32,"text",3,10368,"0.0-3.0","df0hW","","",NA,""
608,32,"text",4,11976,"0.0-4.0","df0hW","","",NA,""
912,32,"text",5,13889,"0.0-5.0","df0hW","","",NA,""
855,32,"text",6,15744,"0.0-6.0","df0hW","","",NA,""
584,32,"text",7,17329,"0.0-7.0","df0hW","","",NA,""
352,32,"text",8,18681,"0.0-8.0","df0hW","","",NA,""
2108,74,"single-stim",9,21794,"0.0-9.0","df0hW","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"false"
1884,70,"single-stim",10,24681,"0.0-10.0","df0hW","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"false"
4991,74,"single-stim",11,30674,"0.0-11.0","df0hW","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
399,70,"single-stim",12,32073,"0.0-12.0","df0hW","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
590,70,"single-stim",13,33665,"0.0-13.0","df0hW","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,34669,"0.0-14.0","df0hW"," ","",NA,""
19151,32,"text",0,19153,"0.0-0.0","DGgIu","","",NA,""
12417,70,"single-stim",1,32592,"0.0-1.0","DGgIu","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
7336,32,"text",2,40943,"0.0-2.0","DGgIu","","",NA,""
12157,32,"text",3,54104,"0.0-3.0","DGgIu","","",NA,""
4528,32,"text",4,59647,"0.0-4.0","DGgIu","","",NA,""
6457,32,"text",5,67120,"0.0-5.0","DGgIu","","",NA,""
3531,32,"text",6,71655,"0.0-6.0","DGgIu","","",NA,""
4526,32,"text",7,77192,"0.0-7.0","DGgIu","","",NA,""
3547,32,"text",8,81743,"0.0-8.0","DGgIu","","",NA,""
8136,74,"single-stim",9,90895,"0.0-9.0","DGgIu","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
5798,70,"single-stim",10,97696,"0.0-10.0","DGgIu","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
8064,74,"single-stim",11,106776,"0.0-11.0","DGgIu","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
7455,70,"single-stim",12,115247,"0.0-12.0","DGgIu","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"false"
10218,70,"single-stim",13,126479,"0.0-13.0","DGgIu","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,127507,"0.0-14.0","DGgIu"," ","",NA,""
13056,32,"text",0,13057,"0.0-0.0","DgP79","","",NA,""
19211,70,"single-stim",1,33280,"0.0-1.0","DgP79","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
12036,32,"text",2,46326,"0.0-2.0","DgP79","","",NA,""
11680,32,"text",3,59017,"0.0-3.0","DgP79","","",NA,""
12798,32,"text",4,72825,"0.0-4.0","DgP79","","",NA,""
13169,32,"text",5,87004,"0.0-5.0","DgP79","","",NA,""
16906,32,"text",6,104918,"0.0-6.0","DgP79","","",NA,""
9084,32,"text",7,115011,"0.0-7.0","DgP79","","",NA,""
6306,32,"text",8,122327,"0.0-8.0","DgP79","","",NA,""
17011,74,"single-stim",9,140341,"0.0-9.0","DgP79","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
17434,74,"single-stim",10,158776,"0.0-10.0","DgP79","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
14160,74,"single-stim",11,173944,"0.0-11.0","DgP79","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
10053,70,"single-stim",12,185012,"0.0-12.0","DgP79","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
10686,74,"single-stim",13,196700,"0.0-13.0","DgP79","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,197708,"0.0-14.0","DgP79"," ","",NA,""
12469,32,"text",0,12471,"0.0-0.0","DmqPw","","",NA,""
10529,74,"single-stim",1,24014,"0.0-1.0","DmqPw","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
26174,32,"text",2,51199,"0.0-2.0","DmqPw","","",NA,""
18660,32,"text",3,70871,"0.0-3.0","DmqPw","","",NA,""
10509,32,"text",4,82390,"0.0-4.0","DmqPw","","",NA,""
12836,32,"text",5,96229,"0.0-5.0","DmqPw","","",NA,""
8372,32,"text",6,105615,"0.0-6.0","DmqPw","","",NA,""
8863,32,"text",7,115480,"0.0-7.0","DmqPw","","",NA,""
4780,32,"text",8,121269,"0.0-8.0","DmqPw","","",NA,""
11181,70,"single-stim",9,133459,"0.0-9.0","DmqPw","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
9308,74,"single-stim",10,143782,"0.0-10.0","DmqPw","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
10141,70,"single-stim",11,154926,"0.0-11.0","DmqPw","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
21098,74,"single-stim",12,177036,"0.0-12.0","DmqPw","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
23827,74,"single-stim",13,201866,"0.0-13.0","DmqPw","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,202871,"0.0-14.0","DmqPw"," ","",NA,""
9124,32,"text",0,9127,"0.0-0.0","dQ7Qx","","",NA,""
16443,70,"single-stim",1,26573,"0.0-1.0","dQ7Qx","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
2071,32,"text",2,29645,"0.0-2.0","dQ7Qx","","",NA,""
6743,32,"text",3,37398,"0.0-3.0","dQ7Qx","","",NA,""
2354,32,"text",4,40757,"0.0-4.0","dQ7Qx","","",NA,""
1567,32,"text",5,43325,"0.0-5.0","dQ7Qx","","",NA,""
1511,32,"text",6,45837,"0.0-6.0","dQ7Qx","","",NA,""
272,32,"text",7,47109,"0.0-7.0","dQ7Qx","","",NA,""
