subject,trial_index,trial_type,list,responses,subject,trial_index,trial_type,list,Type,Sentence,Response,item,cond,repeatability,IlluBare,quantifier,ellipsis,additive,Fill1,Fill2
XXz4A,94,survey-likert,2,,XXz4A,94,survey-likert,2,item,Last year more new bands had their first stadium show than well-known bands had their first open air concert.,5,21,6,EPI,BARE,MORE,NON,notjust,,
XXz4A,97,survey-likert,2,,XXz4A,97,survey-likert,2,item,More girls graduated from high school last year than John graduated from college.,2,1,2,EPI,ILLU,MORE,NON,notjust,,
XXz4A,98,survey-likert,2,,XXz4A,98,survey-likert,2,item,Fewer mathematicians have solved this puzzle than philosophers have.,3,12,7,EPI,BARE,FEW,ELLIP,notjust,,
XXz4A,99,survey-likert,2,,XXz4A,99,survey-likert,2,item,Fewer workers were laid off from the plant than the manager was fired from the factory.,5,15,4,EPI,ILLU,FEW,NON,notjust,,
XXz4A,109,survey-likert,2,,XXz4A,109,survey-likert,2,item,For vacation fewer Europeans travel to New Zealand than Latin Americans travel to Africa.,4,35,8,GEN,BARE,FEW,NON,notjust,,
XXz4A,121,survey-likert,2,,XXz4A,121,survey-likert,2,item,Last month fewer couples had their second child than single parents did.,3,4,7,EPI,BARE,FEW,ELLIP,notjust,,
XXz4A,129,survey-likert,2,,XXz4A,129,survey-likert,2,item,Fewer sophomores have attended departmental Open Houses than Parker has attended orientation.,5,47,4,GEN,ILLU,FEW,NON,justme,,
XXz4A,144,survey-likert,2,,XXz4A,144,survey-likert,2,item,Fewer boys got an A on the exam yesterday than girls got a B on the assignment.,3,3,8,EPI,BARE,FEW,NON,notjust,,
XXz4A,147,survey-likert,2,,XXz4A,147,survey-likert,2,item,Fewer Californians have cheated on their taxes than university students have.,3,36,7,GEN,BARE,FEW,ELLIP,notjust,,
XXz4A,148,survey-likert,2,,XXz4A,148,survey-likert,2,item,This month fewer one-year-olds took their first steps than Sally did.,5,8,3,EPI,ILLU,FEW,ELLIP,justme,,
XXz4A,152,survey-likert,2,,XXz4A,152,survey-likert,2,item,Fewer Americans began law school this week than Megan began medical school.,2,7,4,EPI,ILLU,FEW,NON,justme,,
XXz4A,157,survey-likert,2,,XXz4A,157,survey-likert,2,item,This year fewer seniors had their left hip replaced than Timothy did.,6,24,3,EPI,ILLU,FEW,ELLIP,justme,,
XXz4A,158,survey-likert,2,,XXz4A,158,survey-likert,2,item,More women have been treated at this hospital than men have been fed at that diner.,5,45,6,GEN,BARE,MORE,NON,notjust,,
XXz4A,162,survey-likert,2,,XXz4A,162,survey-likert,2,item,This year fewer firemen have retired from service than doctors have retired from medical practice.,4,11,8,EPI,BARE,FEW,NON,notjust,,
XXz4A,165,survey-likert,2,,XXz4A,165,survey-likert,2,item,Last summer more 5-year-olds learned to ride a bike than 6-year-olds did.,4,14,5,EPI,BARE,MORE,ELLIP,notjust,,
XXz4A,175,survey-likert,2,,XXz4A,175,survey-likert,2,item,Fewer plumbers receive employee health benefits than the carpenter receives retirement benefits.,3,39,4,GEN,ILLU,FEW,NON,notjust,,
XXz4A,180,survey-likert,2,,XXz4A,180,survey-likert,2,item,This fall more teenage boys got their first car than Marissa did.,6,18,1,EPI,ILLU,MORE,ELLIP,notjust,,
XXz4A,181,survey-likert,2,,XXz4A,181,survey-likert,2,item,Today more Brazilians immigrated to Japan than Peter's mother immigrated to the USA.,3,9,2,EPI,ILLU,MORE,NON,justme,,
XXz4A,184,survey-likert,2,,XXz4A,184,survey-likert,2,item,Fewer acrobats have performed on this stage than the juggler has performed in the circus.,4,31,4,GEN,ILLU,FEW,NON,notjust,,
XXz4A,186,survey-likert,2,,XXz4A,186,survey-likert,2,item,At school more boys get in trouble for fighting than Lisa does.,6,26,1,GEN,ILLU,MORE,ELLIP,notjust,,
XXz4A,187,survey-likert,2,,XXz4A,187,survey-likert,2,item,Fewer grandparents lose money at the casino than young parents lose money at the horse races.,4,43,8,GEN,BARE,FEW,NON,notjust,,
XXz4A,189,survey-likert,2,,XXz4A,189,survey-likert,2,item,More students get involved with team sports than the teacher gets involved in community service.,3,33,2,GEN,ILLU,MORE,NON,notjust,,
XXz4A,192,survey-likert,2,,XXz4A,192,survey-likert,2,item,More photographers won their third Pulitzer this year than professors won their third Nobel.,6,5,6,EPI,BARE,MORE,NON,notjust,,
YiDCK,2,survey-likert,7,,YiDCK,2,survey-likert,7,item,This fall more teenage boys got their first car than teenage girls got a new scooter.,4,18,6,EPI,BARE,MORE,NON,notjust,,
YiDCK,10,survey-likert,7,,YiDCK,10,survey-likert,7,item,Fewer youngsters wear red overalls to school than teachers wear blue corduroys to work.,3,40,8,GEN,BARE,FEW,NON,notjust,,
YiDCK,11,survey-likert,7,,YiDCK,11,survey-likert,7,item,More biologists travel to the Pacific Islands than Max travels to Australia.,2,30,2,GEN,ILLU,MORE,NON,justme,,
YiDCK,12,survey-likert,7,,YiDCK,12,survey-likert,7,item,Last summer more 5-year-olds learned to ride a bike than Fran's son learned to swim.,3,14,2,EPI,ILLU,MORE,NON,justme,,
YiDCK,13,survey-likert,7,,YiDCK,13,survey-likert,7,item,Fewer undergrads call their families during the week than the grad student calls her best friend.,5,44,4,GEN,ILLU,FEW,NON,notjust,,
YiDCK,19,survey-likert,7,,YiDCK,19,survey-likert,7,item,Fewer mathematicians have solved this puzzle than the philosopher has solved that puzzle.,3,12,4,EPI,ILLU,FEW,NON,notjust,,
YiDCK,21,survey-likert,7,,YiDCK,21,survey-likert,7,item,Fewer Canadians named their first son Enrique than Sonya did.,3,13,3,EPI,ILLU,FEW,ELLIP,justme,,
YiDCK,30,survey-likert,7,,YiDCK,30,survey-likert,7,item,This season more freshmen attended away games than Julie attended home games.,6,38,2,GEN,ILLU,MORE,NON,justme,,
YiDCK,45,survey-likert,7,,YiDCK,45,survey-likert,7,item,More Australian students have taken a year off than the Korean student has taken a semester abroad.,5,46,2,GEN,ILLU,MORE,NON,notjust,,
YiDCK,47,survey-likert,7,,YiDCK,47,survey-likert,7,item,More sophomores have attended departmental Open Houses than Parker has.,3,47,1,GEN,ILLU,MORE,ELLIP,justme,,
YiDCK,65,survey-likert,7,,YiDCK,65,survey-likert,7,item,More Americans began law school this week than Megan did.,4,7,1,EPI,ILLU,MORE,ELLIP,justme,,
YiDCK,67,survey-likert,7,,YiDCK,67,survey-likert,7,item,This year fewer reporters have bought lottery tickets than the cameraman has.,3,37,3,GEN,ILLU,FEW,ELLIP,notjust,,
YiDCK,72,survey-likert,7,,YiDCK,72,survey-likert,7,item,Fewer lawyers go to the gym on weekends than models do.,4,25,7,GEN,BARE,FEW,ELLIP,notjust,,
YiDCK,74,survey-likert,7,,YiDCK,74,survey-likert,7,item,More workers were laid off from the plant than the manager was.,3,15,1,EPI,ILLU,MORE,ELLIP,notjust,,
YiDCK,79,survey-likert,7,,YiDCK,79,survey-likert,7,item,More Midwesterners learned to drive last year than Californians did.,6,19,5,EPI,BARE,MORE,ELLIP,notjust,,
YiDCK,83,survey-likert,7,,YiDCK,83,survey-likert,7,item,More gym instructors won a marathon yesterday than the lawyer won a triathlon.,4,6,2,EPI,ILLU,MORE,NON,notjust,,
YiDCK,85,survey-likert,7,,YiDCK,85,survey-likert,7,item,More commuters take the train on the weekend than tourists do.,6,27,5,GEN,BARE,MORE,ELLIP,notjust,,
YiDCK,86,survey-likert,7,,YiDCK,86,survey-likert,7,item,Today fewer Brazilians immigrated to Japan than Chileans did.,5,9,7,EPI,BARE,FEW,ELLIP,notjust,,
YiDCK,89,survey-likert,7,,YiDCK,89,survey-likert,7,item,Fewer kids go to camp in the summer than Martha's son goes to Arizona in the winter.,4,28,4,GEN,ILLU,FEW,NON,justme,,
YiDCK,96,survey-likert,7,,YiDCK,96,survey-likert,7,item,More tycoons opened a new hotel this morning than Roseanne opened a new spa.,5,22,2,EPI,ILLU,MORE,NON,justme,,
YiDCK,98,survey-likert,7,,YiDCK,98,survey-likert,7,item,This month fewer one-year-olds took their first steps than 10-month-olds said their first word.,3,8,8,EPI,BARE,FEW,NON,notjust,,
YiDCK,99,survey-likert,7,,YiDCK,99,survey-likert,7,item,At school more boys get in trouble for fighting than girls get in trouble for talking.,6,26,6,GEN,BARE,MORE,NON,notjust,,
YiDCK,103,survey-likert,7,,YiDCK,103,survey-likert,7,item,More teenage boys skip school on Wednesdays than teenage girls skip school on Fridays.,6,42,6,GEN,BARE,MORE,NON,notjust,,
YiDCK,105,survey-likert,7,,YiDCK,105,survey-likert,7,item,Last year fewer new bands had their first stadium show than Nick did.,4,21,3,EPI,ILLU,FEW,ELLIP,justme,,
YiDCK,108,survey-likert,7,,YiDCK,108,survey-likert,7,item,Fewer girls graduated from high school last year than boys did.,6,1,7,EPI,BARE,FEW,ELLIP,notjust,,
YiDCK,112,survey-likert,7,,YiDCK,112,survey-likert,7,item,This year fewer senior professors ran for president than junior professors ran for chairman.,5,16,8,EPI,BARE,FEW,NON,notjust,,
YiDCK,114,survey-likert,7,,YiDCK,114,survey-likert,7,item,More boys got an A on the exam yesterday than girls did.,6,3,5,EPI,BARE,MORE,ELLIP,notjust,,
YiDCK,115,survey-likert,7,,YiDCK,115,survey-likert,7,item,More grandparents lose money at the casino than young parents do.,5,43,5,GEN,BARE,MORE,ELLIP,notjust,,
YiDCK,119,survey-likert,7,,YiDCK,119,survey-likert,7,item,Fewer Canadians play hockey in the winter than Steven does.,3,29,3,GEN,ILLU,FEW,ELLIP,justme,,
YiDCK,122,survey-likert,7,,YiDCK,122,survey-likert,7,item,More acrobats have performed on this stage than the juggler has.,5,31,1,GEN,ILLU,MORE,ELLIP,notjust,,
YiDCK,128,survey-likert,7,,YiDCK,128,survey-likert,7,item,This year fewer seniors had their left hip replaced than young adults had their appendix removed.,5,24,8,EPI,BARE,FEW,NON,notjust,,
YiDCK,134,survey-likert,7,,YiDCK,134,survey-likert,7,item,Fewer students get involved with team sports than teachers do.,6,33,7,GEN,BARE,FEW,ELLIP,notjust,,
YiDCK,138,survey-likert,7,,YiDCK,138,survey-likert,7,item,Fewer photographers won their Pulitzer this year than the professor did.,4,5,3,EPI,ILLU,FEW,ELLIP,notjust,,
YiDCK,153,survey-likert,7,,YiDCK,153,survey-likert,7,item,Fewer Texans ran for Governor in the last election season than Sarah ran for Mayor.,3,20,4,EPI,ILLU,FEW,NON,justme,,
YiDCK,155,survey-likert,7,,YiDCK,155,survey-likert,7,item,This semester more foreign applicants got into Stanford than Americans got into Harvard.,4,2,6,EPI,BARE,MORE,NON,notjust,,
YiDCK,157,survey-likert,7,,YiDCK,157,survey-likert,7,item,Fewer Californians have cheated on their taxes than she has cheated on her exams.,5,36,4,GEN,ILLU,FEW,NON,justme,,
YiDCK,159,survey-likert,7,,YiDCK,159,survey-likert,7,item,Fewer women have been treated at this hospital than Mack has.,4,45,3,GEN,ILLU,FEW,ELLIP,justme,,
YiDCK,164,survey-likert,7,,YiDCK,164,survey-likert,7,item,More plumbers receive employee health benefits than the carpenter does.,5,39,1,GEN,ILLU,MORE,ELLIP,notjust,,
YiDCK,165,survey-likert,7,,YiDCK,165,survey-likert,7,item,This year more firemen have retired from service than doctors have.,3,11,5,EPI,BARE,MORE,ELLIP,notjust,,
YiDCK,166,survey-likert,7,,YiDCK,166,survey-likert,7,item,For vacation more Europeans travel to New Zealand than Latin Americans do.,5,35,5,GEN,BARE,MORE,ELLIP,notjust,,
YiDCK,167,survey-likert,7,,YiDCK,167,survey-likert,7,item,Fewer neighborhood boys take swimming lessons than out-of-towners takes riding lessons.,5,48,8,GEN,BARE,FEW,NON,notjust,,
YiDCK,169,survey-likert,7,,YiDCK,169,survey-likert,7,item,These days fewer farmers gamble in Vegas than waitresses gamble in Atlantic City.,4,32,8,GEN,BARE,FEW,NON,notjust,,
YiDCK,170,survey-likert,7,,YiDCK,170,survey-likert,7,item,These days fewer customers call to complain than shareholders do.,5,41,7,GEN,BARE,FEW,ELLIP,notjust,,
YiDCK,175,survey-likert,7,,YiDCK,175,survey-likert,7,item,This week more writers published their first book than the photographer did.,5,23,1,EPI,ILLU,MORE,ELLIP,notjust,,
YiDCK,178,survey-likert,7,,YiDCK,178,survey-likert,7,item,More Swiss teenagers open checking accounts than British teenagers open savings accounts.,4,34,6,GEN,BARE,MORE,NON,notjust,,
YiDCK,180,survey-likert,7,,YiDCK,180,survey-likert,7,item,Last month fewer couples had their second child than Sandra's sister had her first child.,3,4,4,EPI,ILLU,FEW,NON,notjust,,
YiDCK,182,survey-likert,7,,YiDCK,182,survey-likert,7,item,Fewer girls got their tonsils removed over the summer break than boys did.,3,17,7,EPI,BARE,FEW,ELLIP,notjust,,
YiDCK,192,survey-likert,7,,YiDCK,192,survey-likert,7,item,More 18-year-olds voted in this election than 40-year-olds voted in the last election.,3,10,6,EPI,BARE,MORE,NON,notjust,,
ZjjAI,1,survey-likert,1,,ZjjAI,1,survey-likert,1,item,More students get involved with team sports than the teacher does.,7,33,1,GEN,ILLU,MORE,ELLIP,notjust,,
ZjjAI,4,survey-likert,1,,ZjjAI,4,survey-likert,1,item,This year more senior professors ran for president than Richard ran for chairman.,2,16,2,EPI,ILLU,MORE,NON,justme,,
ZjjAI,5,survey-likert,1,,ZjjAI,5,survey-likert,1,item,More women have been treated at this hospital than men have.,7,45,5,GEN,BARE,MORE,ELLIP,notjust,,
ZjjAI,7,survey-likert,1,,ZjjAI,7,survey-likert,1,item,These days more customers call to complain than the shareholder does.,4,41,1,GEN,ILLU,MORE,ELLIP,notjust,,
ZjjAI,13,survey-likert,1,,ZjjAI,13,survey-likert,1,item,More Texans ran for Governor in the last election season than Alaskans ran for Mayor.,6,20,6,EPI,BARE,MORE,NON,notjust,,
ZjjAI,16,survey-likert,1,,ZjjAI,16,survey-likert,1,item,More youngsters wear red overalls to school than Amos wears blue corduroys to work.,5,40,2,GEN,ILLU,MORE,NON,justme,,
ZjjAI,27,survey-likert,1,,ZjjAI,27,survey-likert,1,item,More photographers won their third Pulitzer this year than professors did.,7,5,5,EPI,BARE,MORE,ELLIP,notjust,,
ZjjAI,28,survey-likert,1,,ZjjAI,28,survey-likert,1,item,At school fewer boys get in trouble for fighting than girls get in trouble for talking.,6,26,8,GEN,BARE,FEW,NON,notjust,,
ZjjAI,34,survey-likert,1,,ZjjAI,34,survey-likert,1,item,More Californians have cheated on their taxes than university students have cheated on their exams.,7,36,6,GEN,BARE,MORE,NON,notjust,,
ZjjAI,38,survey-likert,1,,ZjjAI,38,survey-likert,1,item,More neighborhood boys take swimming lessons than Isabel takes riding lessons.,4,48,2,GEN,ILLU,MORE,NON,notjust,,
ZjjAI,40,survey-likert,1,,ZjjAI,40,survey-likert,1,item,This fall fewer teenage boys got their first car than teenage girls got a new scooter.,6,18,8,EPI,BARE,FEW,NON,notjust,,
ZjjAI,41,survey-likert,1,,ZjjAI,41,survey-likert,1,item,More undergrads call their families during the week than grad students call their best friends.,7,44,6,GEN,BARE,MORE,NON,notjust,,
ZjjAI,43,survey-likert,1,,ZjjAI,43,survey-likert,1,item,Today more Brazilians immigrated to Japan than Peter's mother did.,4,9,1,EPI,ILLU,MORE,ELLIP,justme,,
ZjjAI,47,survey-likert,1,,ZjjAI,47,survey-likert,1,item,These days more farmers gamble in Vegas than Sally-Mae gambles in Atlantic City.,5,32,2,GEN,ILLU,MORE,NON,justme,,
ZjjAI,49,survey-likert,1,,ZjjAI,49,survey-likert,1,item,For vacation fewer Europeans travel to New Zealand than Latin Americans do.,6,35,7,GEN,BARE,FEW,ELLIP,notjust,,
ZjjAI,50,survey-likert,1,,ZjjAI,50,survey-likert,1,item,Fewer Americans began law school this week than Megan did.,3,7,3,EPI,ILLU,FEW,ELLIP,justme,,
ZjjAI,53,survey-likert,1,,ZjjAI,53,survey-likert,1,item,Fewer 18 year olds voted in this election than 40-year-olds voted in the last election.,7,10,8,EPI,BARE,FEW,NON,notjust,,
ZjjAI,54,survey-likert,1,,ZjjAI,54,survey-likert,1,item,Fewer Australian students have taken a year off than the Korean student has taken a semester abroad.,5,46,4,GEN,ILLU,FEW,NON,notjust,,
ZjjAI,59,survey-likert,1,,ZjjAI,59,survey-likert,1,item,Fewer grandparents lose money at the casino than young parents do.,7,43,7,GEN,BARE,FEW,ELLIP,notjust,,
ZjjAI,64,survey-likert,1,,ZjjAI,64,survey-likert,1,item,Fewer Swiss teenagers open checking accounts than British teenagers open savings accounts.,6,34,8,GEN,BARE,FEW,NON,notjust,,
ZjjAI,65,survey-likert,1,,ZjjAI,65,survey-likert,1,item,This year more seniors had their left hip replaced than Timothy had his appendix removed.,3,24,2,EPI,ILLU,MORE,NON,justme,,
ZjjAI,68,survey-likert,1,,ZjjAI,68,survey-likert,1,item,Last year more new bands had their first stadium show than well-known bands did.,6,21,5,EPI,BARE,MORE,ELLIP,notjust,,
ZjjAI,75,survey-likert,1,,ZjjAI,75,survey-likert,1,item,Fewer workers were laid off from the plant than the manager was.,3,15,3,EPI,ILLU,FEW,ELLIP,notjust,,
ZjjAI,80,survey-likert,1,,ZjjAI,80,survey-likert,1,item,More Canadians play hockey in the winter than Americans do.,7,29,5,GEN,BARE,MORE,ELLIP,notjust,,
ZjjAI,83,survey-likert,1,,ZjjAI,83,survey-likert,1,item,More Canadians named their first son Enrique than Mexicans did.,6,13,5,EPI,BARE,MORE,ELLIP,notjust,,
ZjjAI,92,survey-likert,1,,ZjjAI,92,survey-likert,1,item,This year more reporters have bought lottery tickets than cameramen have.,7,37,5,GEN,BARE,MORE,ELLIP,notjust,,
ZjjAI,95,survey-likert,1,,ZjjAI,95,survey-likert,1,item,More kids go to camp in the summer than teenagers go to Arizona in the winter.,6,28,6,GEN,BARE,MORE,NON,notjust,,
ZjjAI,97,survey-likert,1,,ZjjAI,97,survey-likert,1,item,Fewer commuters take the train on the weekend than tourists do.,7,27,7,GEN,BARE,FEW,ELLIP,notjust,,
ZjjAI,98,survey-likert,1,,ZjjAI,98,survey-likert,1,item,Fewer tycoons opened a new hotel this morning than Roseanne opened a new spa.,2,22,4,EPI,ILLU,FEW,NON,justme,,
ZjjAI,105,survey-likert,1,,ZjjAI,105,survey-likert,1,item,More mathematicians have solved this puzzle than philosophers have solved that puzzle.,6,12,6,EPI,BARE,MORE,NON,notjust,,
ZjjAI,110,survey-likert,1,,ZjjAI,110,survey-likert,1,item,This season fewer freshmen attended away games than Julie attended home games.,4,38,4,GEN,ILLU,FEW,NON,justme,,
ZjjAI,111,survey-likert,1,,ZjjAI,111,survey-likert,1,item,Fewer plumbers receive employee health benefits than the carpenter does.,5,39,3,GEN,ILLU,FEW,ELLIP,notjust,,
ZjjAI,120,survey-likert,1,,ZjjAI,120,survey-likert,1,item,Fewer sophomores have attended departmental Open Houses than Parker has.,5,47,3,GEN,ILLU,FEW,ELLIP,justme,,
ZjjAI,121,survey-likert,1,,ZjjAI,121,survey-likert,1,item,This year fewer firemen have retired from service than doctors have.,7,11,7,EPI,BARE,FEW,ELLIP,notjust,,
ZjjAI,122,survey-likert,1,,ZjjAI,122,survey-likert,1,item,Fewer biologists travel to the Pacific Islands than Max travels to Australia.,4,30,4,GEN,ILLU,FEW,NON,justme,,
ZjjAI,132,survey-likert,1,,ZjjAI,132,survey-likert,1,item,Fewer gym instructors won a marathon yesterday than the lawyer won a triathalon.,4,6,4,EPI,ILLU,FEW,NON,notjust,,
ZjjAI,137,survey-likert,1,,ZjjAI,137,survey-likert,1,item,Fewer acrobats have performed on this stage than the juggler has.,3,31,3,GEN,ILLU,FEW,ELLIP,notjust,,
ZjjAI,145,survey-likert,1,,ZjjAI,145,survey-likert,1,item,Fewer Midwesterners learned to drive last year than Californians did.,7,19,7,EPI,BARE,FEW,ELLIP,notjust,,
ZjjAI,147,survey-likert,1,,ZjjAI,147,survey-likert,1,item,Fewer teenage boys skip school on Wednesdays than teenage girls skip school on Fridays.,7,42,8,GEN,BARE,FEW,NON,notjust,,
ZjjAI,157,survey-likert,1,,ZjjAI,157,survey-likert,1,item,This month more one-year-olds took their first steps than Sally said her first word.,3,8,2,EPI,ILLU,MORE,NON,justme,,
ZjjAI,171,survey-likert,1,,ZjjAI,171,survey-likert,1,item,More lawyers go to the gym on weekends than Adelle does.,3,25,1,GEN,ILLU,MORE,ELLIP,justme,,
ZjjAI,172,survey-likert,1,,ZjjAI,172,survey-likert,1,item,Last month more couples had their second child than single parents had their first child.,6,4,6,EPI,BARE,MORE,NON,notjust,,
ZjjAI,177,survey-likert,1,,ZjjAI,177,survey-likert,1,item,Last summer fewer 5-year-olds learned to ride a bike than Fran's son learned to swim.,3,14,4,EPI,ILLU,FEW,NON,justme,,
ZjjAI,179,survey-likert,1,,ZjjAI,179,survey-likert,1,item,This week fewer writers published their first book than the photographer did.,3,23,3,EPI,ILLU,FEW,ELLIP,notjust,,
ZjjAI,180,survey-likert,1,,ZjjAI,180,survey-likert,1,item,Fewer boys got an A on the exam yesterday than girls did.,7,3,7,EPI,BARE,FEW,ELLIP,notjust,,
ZjjAI,181,survey-likert,1,,ZjjAI,181,survey-likert,1,item,More girls graduated from high school last year than John did.,3,1,1,EPI,ILLU,MORE,ELLIP,notjust,,
ZjjAI,186,survey-likert,1,,ZjjAI,186,survey-likert,1,item,More girls had their tonsils removed over the summer break than the boy did.,3,17,1,EPI,ILLU,MORE,ELLIP,notjust,,
ZjjAI,187,survey-likert,1,,ZjjAI,187,survey-likert,1,item,This semester fewer foreign applicants got into Stanford than Americans got into Harvard.,7,2,8,EPI,BARE,FEW,NON,notjust,,
1K8Se,1,survey-likert,8,,1K8Se,1,survey-likert,8,filler,A lot of people would ride the metro if it was more affordable.,7,,,,,,,,F,N
1K8Se,2,survey-likert,8,,1K8Se,2,survey-likert,8,filler,At least as many women loved that singer as loved Paul McCartney.,6,,,,,,,,F,C
1K8Se,3,survey-likert,8,,1K8Se,3,survey-likert,8,filler,Some people visited the country last summer that I might take my grandmother.,2,,,,,,,,*F,N
1K8Se,4,survey-likert,8,,1K8Se,4,survey-likert,8,filler,Canadians find they understand who Barry is unlike who Sarah.,2,,,,,,,,*F,N
1K8Se,5,survey-likert,8,,1K8Se,5,survey-likert,8,filler,More Germans will have gone to Italy this year than many Americans have sailed.,1,,,,,,,,*F,C
1K8Se,6,survey-likert,8,,1K8Se,6,survey-likert,8,filler,More people read the Harry Potter books than the Lord of the Rings books.,7,,,,,,,,F,C
1K8Se,7,survey-likert,8,,1K8Se,7,survey-likert,8,filler,Dirty laundry is easy to find and wash incompletely when Bill's homework.,1,,,,,,,,*F,N
1K8Se,8,survey-likert,8,,1K8Se,8,survey-likert,8,filler,Drinking Pepsi is more often recommended for a cold than cough syrup.,7,,,,,,,,*F,C
1K8Se,9,survey-likert,8,,1K8Se,9,survey-likert,8,filler,Shoes fit on small feet in order that older shoes wear well with orange.,1,,,,,,,,*F,N
1K8Se,10,survey-likert,8,,1K8Se,10,survey-likert,8,filler,This week an anonymous donor gave money to the kindergarten that my child attends.,6,,,,,,,,F,N
1K8Se,12,survey-likert,8,,1K8Se,12,survey-likert,8,filler,The more things change the more they stay the same.,7,,,,,,,,F,C
1K8Se,13,survey-likert,8,,1K8Se,13,survey-likert,8,filler,These days more people have a better grasp of how cars work than how computers work.,7,,,,,,,,F,C
1K8Se,14,survey-likert,8,,1K8Se,14,survey-likert,8,filler,Last year fewer rats that live in New York's five boroughs than I did.,1,,,,,,,,*F,C
1K8Se,15,survey-likert,8,,1K8Se,15,survey-likert,8,filler,Journalists usually assume that it is best to present information objectively.,7,,,,,,,,F,N
1K8Se,16,survey-likert,8,,1K8Se,16,survey-likert,8,filler,It will take us the rest of our lives to drink the champagne that they spilled beer last night.,1,,,,,,,,*F,N
1K8Se,17,survey-likert,8,,1K8Se,17,survey-likert,8,filler,Automatic Teller Machines are most often built in locations that don't.,1,,,,,,,,*F,N
1K8Se,18,survey-likert,8,,1K8Se,18,survey-likert,8,filler,Most people have been to the Grand Canyon at one time or another.,7,,,,,,,,F,N
1K8Se,19,survey-likert,8,,1K8Se,19,survey-likert,8,filler,This year brighter lights have been put up on that house for Halloween than me.,1,,,,,,,,*F,C
1K8Se,20,survey-likert,8,,1K8Se,20,survey-likert,8,filler,Weight lifters are a tough act to follow that will act tough if.,1,,,,,,,,*F,N
1K8Se,21,survey-likert,8,,1K8Se,21,survey-likert,8,filler,The teenager has a lot of it on his face so he ever had pimples.,1,,,,,,,,*F,N
1K8Se,22,survey-likert,8,,1K8Se,22,survey-likert,8,filler,Last night a truck driver was driving way too fast and nearly caused an accident.,7,,,,,,,,F,N
1K8Se,24,survey-likert,8,,1K8Se,24,survey-likert,8,filler,Bill is a shorter man than the door is fat for a piece of furniture.,2,,,,,,,,*F,C
1K8Se,25,survey-likert,8,,1K8Se,25,survey-likert,8,filler,Fewer police officers were on the scene than ambulances were.,7,,,,,,,,F,C
1K8Se,26,survey-likert,8,,1K8Se,26,survey-likert,8,filler,Couples have more money than singles because they get a tax break.,7,,,,,,,,F,C
1K8Se,27,survey-likert,8,,1K8Se,27,survey-likert,8,filler,This month the fire department has seen a dramatic increase in the number of fires reported.,7,,,,,,,,F,N
1K8Se,28,survey-likert,8,,1K8Se,28,survey-likert,8,filler,This semester Stephen plays a better Guitar Hero solo than Robert does.,7,,,,,,,,F,C
1K8Se,29,survey-likert,8,,1K8Se,29,survey-likert,8,filler,City buses are filled with people less often than they're empty.,6,,,,,,,,F,C
1K8Se,31,survey-likert,8,,1K8Se,31,survey-likert,8,filler,The shapes were longer this month than I wondered whether they would be.,2,,,,,,,,*F,C
1K8Se,32,survey-likert,8,,1K8Se,32,survey-likert,8,filler,Music tapes that does are not even sold in stores anymore.,2,,,,,,,,*F,N
1K8Se,33,survey-likert,8,,1K8Se,33,survey-likert,8,filler,It was what a long paper John sent to what a famous journal.,2,,,,,,,,*F,N
1K8Se,34,survey-likert,8,,1K8Se,34,survey-likert,8,filler,Phillip has more homework this week than Laura is a student who has.,2,,,,,,,,*F,C
1K8Se,35,survey-likert,8,,1K8Se,35,survey-likert,8,filler,Many people that play on that baseball team this season are friends of Patricia.,6,,,,,,,,F,N
1K8Se,36,survey-likert,8,,1K8Se,36,survey-likert,8,filler,Detectives have a harder time that you found your cat.,2,,,,,,,,*F,C
1K8Se,39,survey-likert,8,,1K8Se,39,survey-likert,8,filler,Psychologists think that patients who pull their hair out are crazier than those who don't.,7,,,,,,,,F,C
1K8Se,41,survey-likert,8,,1K8Se,41,survey-likert,8,filler,Max persuaded more of the men to buy more of the cars than you persuaded to sell.,3,,,,,,,,*F,C
1K8Se,43,survey-likert,8,,1K8Se,43,survey-likert,8,filler,These days more people from the West go to China for vacation than to Germany.,7,,,,,,,,F,C
1K8Se,44,survey-likert,8,,1K8Se,44,survey-likert,8,filler,Last Saturday a cowboy who works at the A-bar Ranch fell off of his horse and survived.,7,,,,,,,,F,N
1K8Se,45,survey-likert,8,,1K8Se,45,survey-likert,8,filler,The people scheduled to speak at this year's forum are the best that we could find.,7,,,,,,,,F,N
1K8Se,47,survey-likert,8,,1K8Se,47,survey-likert,8,filler,All of the cups of black coffee that I did were left on the counter.,3,,,,,,,,*F,N
1K8Se,48,survey-likert,8,,1K8Se,48,survey-likert,8,filler,Yellow shoes are a fit for young people unlike older shoes do.,2,,,,,,,,*F,N
1K8Se,51,survey-likert,8,,1K8Se,51,survey-likert,8,filler,Some students cheat on tests that they should have been more prepared for.,7,,,,,,,,F,N
1K8Se,52,survey-likert,8,,1K8Se,52,survey-likert,8,filler,His end of semester paper is excited in a incomprehensive sense.,3,,,,,,,,*F,N
1K8Se,53,survey-likert,8,,1K8Se,53,survey-likert,8,filler,Tons more yellow corn is produced in the Midwest than wheat is produced without harvesting.,3,,,,,,,,*F,C
1K8Se,54,survey-likert,8,,1K8Se,54,survey-likert,8,filler,For hours Gertrude's puppy has been chewing on a bone that she gave him.,6,,,,,,,,F,N
